algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,footprint_clearance_mean_m,footprint_clearance_min_m,footprint_clearance_p05_m,footprint_collision_sample_count,footprint_pose_sample_count,hybrid_pivot_energy,hybrid_pivot_markers,hybrid_pivot_max_cost,hybrid_pivot_safe,hybrid_raw_energy,hybrid_raw_max_cost,hybrid_raw_safe,hybrid_reason,hybrid_selected,hybrid_simple_energy,hybrid_simple_max_cost,hybrid_simple_safe,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_compatible_edges,pivot_competitive_candidates,pivot_conditioned_polyline,pivot_conditioning_input_points,pivot_conditioning_max_deviation,pivot_conditioning_observed_deviation,pivot_conditioning_oscillation_deviation,pivot_conditioning_oscillation_shortcuts,pivot_conditioning_output_points,pivot_conditioning_safety_rejections,pivot_conditioning_shortcuts,pivot_corner_search,pivot_corners,pivot_dp_states,pivot_evaluations,pivot_fallback,pivot_g2_transitions,pivot_marker_count,pivot_max_angle_rad,pivot_max_footprint_cost,pivot_mean_transition_score,pivot_output_points,pivot_pass_through_corners,pivot_pivots,pivot_rejections,pivot_runtime_s,pivot_search_mode,pivot_segment_margin,pivot_selected_stitch_rejection,pivot_total_angle_rad,pivot_valid_candidates,planner,planner_output_path_sha256,point_count,raw_path_sha256,removed_duplicate_pose_count,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.0,1.7763614716181782e-12,0.0,0.0,,0.7140896970626842,0.6447181959844944,0.7146446715897079,0,292,,,,,,,,,,,,,5.9604738034203535e-06,raw,0.05,290,be14d93aff78ca16b2f92bbb5d5e98f259e4565841c31705a5b127bd8f5ca41b,7.299999947845938,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,be14d93aff78ca16b2f92bbb5d5e98f259e4565841c31705a5b127bd8f5ca41b,147,be14d93aff78ca16b2f92bbb5d5e98f259e4565841c31705a5b127bd8f5ca41b,0,1,straight_lower_aisle,True,1.7763614716181782e-12,5.9604738034203535e-06,7.299999947845938,1,0.009431341000890825
0.0,5.397380654863941e-14,9.344196971738938e-09,8.933066392227504e-10,,0.714108961247787,0.6447181959844944,0.7146446715897079,0,290,,,,,,,,,,,,,6.392212981154437e-07,simple,0.05,290,91ee51f8939ae83354405ee1b2d9ffdd35d275ad207b441045bbde3cbde626f0,7.2999999478459365,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,be14d93aff78ca16b2f92bbb5d5e98f259e4565841c31705a5b127bd8f5ca41b,147,be14d93aff78ca16b2f92bbb5d5e98f259e4565841c31705a5b127bd8f5ca41b,0,1,straight_lower_aisle,True,5.397380654863941e-14,6.392212981154437e-07,7.2999999478459365,1,0.01284689900057856
0.0,2.2284348670517425e-13,6.7243886014978216e-09,5.700390583637994e-10,,0.714108961247787,0.6447181959844944,0.7146446715897079,0,290,,,,,,,,,,,,,1.2809257654566832e-06,savitzky_golay,0.05,290,03db3973afa47bbc07a72a16fa7eff76094d57797268a9f1b3e5c41967deffa9,7.2999999478459365,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,be14d93aff78ca16b2f92bbb5d5e98f259e4565841c31705a5b127bd8f5ca41b,147,be14d93aff78ca16b2f92bbb5d5e98f259e4565841c31705a5b127bd8f5ca41b,0,1,straight_lower_aisle,True,2.2284348670517425e-13,1.2809257654566832e-06,7.2999999478459365,1,0.01021326299814973
0.0,1.7763614716181782e-12,0.0,0.0,,0.7140896970626842,0.6447181959844944,0.7146446715897079,0,292,,,,,,,,,,,,,5.9604738034203535e-06,constrained,0.05,290,be14d93aff78ca16b2f92bbb5d5e98f259e4565841c31705a5b127bd8f5ca41b,7.299999947845938,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,be14d93aff78ca16b2f92bbb5d5e98f259e4565841c31705a5b127bd8f5ca41b,147,be14d93aff78ca16b2f92bbb5d5e98f259e4565841c31705a5b127bd8f5ca41b,0,1,straight_lower_aisle,True,1.7763614716181782e-12,5.9604738034203535e-06,7.299999947845938,1,0.012991812000109348
0.0,5.688865484455407e-26,1.4799098391193866e-08,8.529820412649114e-09,,0.713855627244483,0.6447181959844944,0.7146446715897079,0,147,,,,,,,,,,,,,1.776356839503667e-13,pivot_g2_fixed,0.05,147,d0c4b934cab7e7bc2ba152c5bc2239287818340c65b220f11c7ffa9fdb4743a0,7.299999947845936,0,0,"[[-2.5, -3], [4.8, -3]]",290,0.075,1.47991e-08,0.15,0,2,0,1,[],0,0,0,none,0,0,0.0,200,0,147,0,0,{},0.000433657,fixed,0.05,,0,0,NavFnAStar,be14d93aff78ca16b2f92bbb5d5e98f259e4565841c31705a5b127bd8f5ca41b,147,be14d93aff78ca16b2f92bbb5d5e98f259e4565841c31705a5b127bd8f5ca41b,0,1,straight_lower_aisle,True,5.688865484455407e-26,1.776356839503667e-13,7.299999947845936,1,0.010419707999972161
0.0,5.688865484455407e-26,1.4799098391193866e-08,8.529820412649114e-09,,0.713855627244483,0.6447181959844944,0.7146446715897079,0,147,,,,,,,,,,,,,1.776356839503667e-13,pivot_g2,0.05,147,d0c4b934cab7e7bc2ba152c5bc2239287818340c65b220f11c7ffa9fdb4743a0,7.299999947845936,0,0,"[[-2.5, -3], [4.8, -3]]",290,0.075,1.47991e-08,0.15,0,2,0,1,[],0,0,0,none,0,0,0.0,200,0,147,0,0,{},0.000361552,adaptive,0.05,,0,0,NavFnAStar,be14d93aff78ca16b2f92bbb5d5e98f259e4565841c31705a5b127bd8f5ca41b,147,be14d93aff78ca16b2f92bbb5d5e98f259e4565841c31705a5b127bd8f5ca41b,0,1,straight_lower_aisle,True,5.688865484455407e-26,1.776356839503667e-13,7.299999947845936,1,0.007251137001730967
0.003,5.397380654863941e-14,9.344196971738938e-09,8.933066392227504e-10,,0.714108961247787,0.6447181959844944,0.7146446715897079,0,290,5.68887e-26,0,0,True,1.77636e-12,0,True,simple_default,simple,5.39738e-14,0,True,6.392212981154437e-07,adaptive_hybrid_fixed,0.05,290,91ee51f8939ae83354405ee1b2d9ffdd35d275ad207b441045bbde3cbde626f0,7.2999999478459365,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,be14d93aff78ca16b2f92bbb5d5e98f259e4565841c31705a5b127bd8f5ca41b,147,be14d93aff78ca16b2f92bbb5d5e98f259e4565841c31705a5b127bd8f5ca41b,0,1,straight_lower_aisle,True,5.397380654863941e-14,6.392212981154437e-07,7.2999999478459365,1,0.011563872001715936
0.003,5.397380654863941e-14,9.344196971738938e-09,8.933066392227504e-10,,0.714108961247787,0.6447181959844944,0.7146446715897079,0,290,5.68887e-26,0,0,True,1.77636e-12,0,True,simple_default,simple,5.39738e-14,0,True,6.392212981154437e-07,adaptive_hybrid,0.05,290,91ee51f8939ae83354405ee1b2d9ffdd35d275ad207b441045bbde3cbde626f0,7.2999999478459365,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,be14d93aff78ca16b2f92bbb5d5e98f259e4565841c31705a5b127bd8f5ca41b,147,be14d93aff78ca16b2f92bbb5d5e98f259e4565841c31705a5b127bd8f5ca41b,0,1,straight_lower_aisle,True,5.397380654863941e-14,6.392212981154437e-07,7.2999999478459365,1,0.013349499000469223
0.0,1.7763614716181782e-12,0.0,0.0,,0.7140896970626842,0.6447181959844944,0.7146446715897079,0,292,,,,,,,,,,,,,5.9604738034203535e-06,raw,0.05,290,be14d93aff78ca16b2f92bbb5d5e98f259e4565841c31705a5b127bd8f5ca41b,7.299999947845938,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,be14d93aff78ca16b2f92bbb5d5e98f259e4565841c31705a5b127bd8f5ca41b,147,be14d93aff78ca16b2f92bbb5d5e98f259e4565841c31705a5b127bd8f5ca41b,0,2,straight_lower_aisle,True,1.7763614716181782e-12,5.9604738034203535e-06,7.299999947845938,1,0.004917825001029996
0.0,5.397380654863941e-14,9.344196971738938e-09,8.933066392227504e-10,,0.714108961247787,0.6447181959844944,0.7146446715897079,0,290,,,,,,,,,,,,,6.392212981154437e-07,simple,0.05,290,91ee51f8939ae83354405ee1b2d9ffdd35d275ad207b441045bbde3cbde626f0,7.2999999478459365,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,be14d93aff78ca16b2f92bbb5d5e98f259e4565841c31705a5b127bd8f5ca41b,147,be14d93aff78ca16b2f92bbb5d5e98f259e4565841c31705a5b127bd8f5ca41b,0,2,straight_lower_aisle,True,5.397380654863941e-14,6.392212981154437e-07,7.2999999478459365,1,0.00739578899811022
